V1,instution,city,zip,state_abbr,LOCALE,LATITUDE,LONGITUDE,urban_type,urban_description,vector_name,state_name,state_name_included,city_name_included
1379,St. John's College,Annapolis,21401,MD,21,38.981598,-76.491359,Suburb,Large,,Maryland,FALSE,FALSE
1380,Towson University,Towson,21252-0001,MD,13,39.393622,-76.611164,City,Small,,Maryland,FALSE,TRUE
1381,Maryland University of Integrative Health,Laurel,20723,MD,21,39.165872,-76.888025,Suburb,Large,,Maryland,TRUE,FALSE
1382,United States Naval Academy,Annapolis,21402-1300,MD,21,38.980507,-76.481692,Suburb,Large,,Maryland,FALSE,FALSE
1383,Stevenson University,Owings Mills,21117,MD,41,39.421988,-76.702092,Rural,Fringe,,Maryland,FALSE,FALSE
1384,Washington College,Chestertown,21620-1438,MD,32,39.217329,-76.06878,Town,Distant,,Maryland,FALSE,FALSE
1385,McDaniel College,Westminster,21157,MD,23,39.584231,-77.001992,Suburb,Small,,Maryland,FALSE,FALSE
1386,Wor-Wic Community College,Salisbury,21804-7131,MD,41,38.373723,-75.499659,Rural,Fringe,,Maryland,FALSE,FALSE
1387,Hult International Business School,Cambridge,02141,MA,12,42.369968,-71.070645,City,Midsize,,Massachusetts,FALSE,FALSE
1388,American International College,Springfield,01109,MA,12,42.112346,-72.558338,City,Midsize,,Massachusetts,FALSE,FALSE
1389,Amherst College,Amherst,01002-5000,MA,21,42.372459,-72.518493,Suburb,Large,,Massachusetts,FALSE,TRUE
1390,Anna Maria College,Paxton,01612-1198,MA,41,42.330542,-71.91896,Rural,Fringe,,Massachusetts,FALSE,FALSE
1391,Assabet Valley Regional Technical School,Marlborough,01752,MA,21,42.36775,-71.567281,Suburb,Large,,Massachusetts,FALSE,FALSE
1392,Assumption University,Worcester,01609-1296,MA,12,42.294226,-71.828991,City,Midsize,,Massachusetts,FALSE,FALSE
1393,Babson College,Wellesley,02457-0310,MA,21,42.297017,-71.264057,Suburb,Large,,Massachusetts,FALSE,FALSE
1394,Bancroft School of Massage Therapy,Worcester,01604,MA,12,42.268973,-71.778113,City,Midsize,,Massachusetts,FALSE,FALSE
1395,Boston Baptist College,Boston,02136-4030,MA,11,42.254037,-71.1103,City,Large,,Massachusetts,FALSE,TRUE
1396,Bay Path University,Longmeadow,01106,MA,21,42.055088,-72.583382,Suburb,Large,,Massachusetts,FALSE,FALSE
1397,Bay State College,Boston,02116,MA,11,42.350966,-71.071615,City,Large,,Massachusetts,FALSE,FALSE
1398,Bentley University,Waltham,02452-4705,MA,13,42.385995,-71.222839,City,Small,,Massachusetts,FALSE,FALSE
1399,Berklee College of Music,Boston,02215,MA,11,42.346646,-71.089405,City,Large,,Massachusetts,FALSE,FALSE
1400,Berkshire Community College,Pittsfield,01201-5786,MA,41,42.45975,-73.314704,Rural,Fringe,,Massachusetts,FALSE,FALSE
1401,Empire Beauty School-Boston,Boston,02111,MA,11,42.354683,-71.062722,City,Large,,Massachusetts,FALSE,TRUE
1402,Boston Architectural College,Boston,02115-2703,MA,11,42.348467,-71.085786,City,Large,,Massachusetts,FALSE,TRUE
1403,Boston Graduate School of Psychoanalysis Inc,Brookline,02446,MA,21,42.33912,-71.133151,Suburb,Large,,Massachusetts,FALSE,FALSE
1404,Boston College,Chestnut Hill,02467,MA,13,42.336213,-71.169242,City,Small,,Massachusetts,FALSE,FALSE
1405,Boston University,Boston,02215,MA,11,42.351118,-71.107942,City,Large,,Massachusetts,FALSE,TRUE
1406,Brandeis University,Waltham,02454-9110,MA,13,42.365727,-71.260155,City,Small,,Massachusetts,FALSE,FALSE
1407,Bridgewater State University,Bridgewater,02325,MA,21,41.98749,-70.974553,Suburb,Large,,Massachusetts,FALSE,TRUE
1408,Bristol Community College,Fall River,02720-7395,MA,21,41.721994,-71.119133,Suburb,Large,,Massachusetts,FALSE,FALSE
1409,Signature Healthcare Brockton Hospital School of Nursing,Brockton,02302-1905,MA,21,42.088032,-70.992764,Suburb,Large,,Massachusetts,FALSE,TRUE
1410,Bunker Hill Community College,Boston,02129-2925,MA,11,42.374806,-71.069263,City,Large,,Massachusetts,FALSE,FALSE
1411,Cambridge College,Boston,02129,MA,11,42.381091,-71.072646,City,Large,,Massachusetts,FALSE,FALSE
1412,Cape Cod Community College,West Barnstable,02668-1599,MA,13,41.691911,-70.337334,City,Small,,Massachusetts,FALSE,FALSE
1413,Catherine Hinds Institute of Esthetics,Woburn,01801-6819,MA,21,42.493212,-71.13715,Suburb,Large,,Massachusetts,FALSE,FALSE
1414,Laboure College of Healthcare,Milton,02186,MA,21,42.260866,-71.058279,Suburb,Large,,Massachusetts,FALSE,FALSE
1415,Clark University,Worcester,01610-1477,MA,12,42.249987,-71.823356,City,Midsize,,Massachusetts,FALSE,FALSE
1416,Conway School of Landscape Design,Northampton,01060,MA,21,42.313857,-72.64875,Suburb,Large,,Massachusetts,FALSE,FALSE
1417,Curry College,Milton,02186-2395,MA,21,42.238061,-71.116539,Suburb,Large,,Massachusetts,FALSE,FALSE
1418,Lincoln Technical Institute-Somerville,Somerville,02145,MA,21,42.390826,-71.082082,Suburb,Large,,Massachusetts,FALSE,TRUE
1419,Dean College,Franklin,02038-1941,MA,21,42.085634,-71.397813,Suburb,Large,,Massachusetts,FALSE,FALSE
1420,Diman Regional Technical Institute,Fall River,02720,MA,21,41.699857,-71.124742,Suburb,Large,,Massachusetts,FALSE,FALSE
1421,National Aviation Academy of New England,Concord,01742,MA,21,42.462164,-71.387244,Suburb,Large,,Massachusetts,FALSE,FALSE
1422,Eastern Nazarene College,Quincy,02170-2999,MA,21,42.271228,-71.011079,Suburb,Large,,Massachusetts,FALSE,FALSE
1423,Emerson College,Boston,02116-4624,MA,11,42.352202,-71.065384,City,Large,,Massachusetts,FALSE,FALSE
1424,Emmanuel College,Boston,02115,MA,11,42.340602,-71.103634,City,Large,,Massachusetts,FALSE,FALSE
1425,Endicott College,Beverly,01915,MA,21,42.553296,-70.840847,Suburb,Large,,Massachusetts,FALSE,FALSE
1426,Rob Roy Academy-Fall River,Fall River,02720-3445,MA,21,41.698905,-71.157664,Suburb,Large,,Massachusetts,FALSE,TRUE
1427,Fisher College,Boston,02116,MA,11,42.355253,-71.074125,City,Large,,Massachusetts,FALSE,FALSE
1428,Fitchburg State University,Fitchburg,01420-2697,MA,22,42.588298,-71.789666,Suburb,Midsize,,Massachusetts,FALSE,TRUE
1429,Framingham State University,Framingham,01701-9101,MA,13,42.297116,-71.437565,City,Small,,Massachusetts,FALSE,TRUE
1430,Benjamin Franklin Cummings Institute of Technology,Boston,02116,MA,11,42.346023,-71.070231,City,Large,,Massachusetts,FALSE,FALSE
1431,Gordon College,Wenham,01984,MA,21,42.590567,-70.82151,Suburb,Large,,Massachusetts,FALSE,FALSE
1432,Gordon-Conwell Theological Seminary,South Hamilton,01982,MA,21,42.613475,-70.846386999999993,Suburb,Large,,Massachusetts,FALSE,FALSE
1433,Greenfield Community College,Greenfield,01301-9739,MA,32,42.599512,-72.630977,Town,Distant,,Massachusetts,FALSE,TRUE
1434,Hampshire College,Amherst,01002-5001,MA,21,42.325852,-72.531469,Suburb,Large,,Massachusetts,FALSE,FALSE
1435,Harvard University,Cambridge,02138,MA,12,42.374471,-71.118313,City,Midsize,,Massachusetts,FALSE,FALSE
1436,Hebrew College,Newton Centre,02459-2237,MA,13,42.325677,-71.189226,City,Small,,Massachusetts,FALSE,FALSE
1437,Hellenic College-Holy Cross Greek Orthodox School of Theology,Brookline,02445-7415,MA,21,42.317018,-71.129418,Suburb,Large,,Massachusetts,FALSE,FALSE
1438,College of the Holy Cross,Worcester,01610-2395,MA,12,42.23752,-71.808214,City,Midsize,,Massachusetts,FALSE,FALSE
1439,Holyoke Community College,Holyoke,01040,MA,21,42.194781,-72.651252,Suburb,Large,,Massachusetts,FALSE,TRUE
1440,Lasell University,Newton,02466,MA,13,42.342148,-71.24347,City,Small,,Massachusetts,FALSE,FALSE
1441,Lawrence Memorial Hospital School of Nursing,Medford,02155,MA,21,42.42581,-71.110958,Suburb,Large,,Massachusetts,FALSE,FALSE
1442,Lesley University,Cambridge,02138-2790,MA,12,42.38012,-71.117303,City,Midsize,,Massachusetts,FALSE,FALSE
1443,Longy School of Music of Bard College,Cambridge,02138,MA,12,42.378657,-71.123479,City,Midsize,,Massachusetts,FALSE,FALSE
1444,Lowell Academy Hairstyling Institute,Lowell,01852-1909,MA,21,42.643609,-71.308309,Suburb,Large,,Massachusetts,FALSE,TRUE
1445,University of Massachusetts-Lowell,Lowell,01854,MA,21,42.652864,-71.326809,Suburb,Large,,Massachusetts,TRUE,TRUE
1446,University of Massachusetts-Amherst,Amherst,01003,MA,21,42.385999,-72.526728,Suburb,Large,,Massachusetts,TRUE,TRUE
1447,University of Massachusetts-Boston,Boston,02125-3393,MA,11,42.312881,-71.036865,City,Large,,Massachusetts,TRUE,TRUE
1448,Massachusetts Bay Community College,Wellesley Hills,02481-5399,MA,21,42.312292,-71.263821,Suburb,Large,,Massachusetts,TRUE,FALSE
1449,MCPHS University,Boston,02115-5896,MA,11,42.336825,-71.101244,City,Large,,Massachusetts,FALSE,FALSE
1450,Massachusetts College of Art and Design,Boston,02115-5882,MA,11,42.336862000000004,-71.099275,City,Large,,Massachusetts,TRUE,FALSE
1451,Massachusetts Institute of Technology,Cambridge,02139-4307,MA,12,42.359243,-71.093226,City,Midsize,,Massachusetts,TRUE,FALSE
1452,Massachusetts Maritime Academy,Buzzards Bay,02532-1803,MA,22,41.739072,-70.624084,Suburb,Midsize,,Massachusetts,TRUE,FALSE
1453,University of Massachusetts Chan Medical School,Worcester,01655,MA,12,42.278002,-71.762144,City,Midsize,,Massachusetts,TRUE,FALSE
1454,William James College,Newton,02459,MA,13,42.294995,-71.203256,City,Small,,Massachusetts,FALSE,FALSE
1455,Massachusetts School of Barbering,Quincy,02169,MA,21,42.247457,-71.001891,Suburb,Large,,Massachusetts,TRUE,FALSE
1456,Massasoit Community College,Brockton,02302-3996,MA,21,42.07507,-70.989799,Suburb,Large,,Massachusetts,FALSE,FALSE
1457,Merrimack College,North Andover,01845,MA,21,42.668344,-71.124216,Suburb,Large,,Massachusetts,FALSE,FALSE
1458,MGH Institute of Health Professions,Boston,02129-4557,MA,11,42.375018,-71.054002,City,Large,,Massachusetts,FALSE,FALSE
1459,Middlesex Community College,Bedford,01730-9124,MA,21,42.524328,-71.274931,Suburb,Large,,Massachusetts,FALSE,FALSE
1460,Montserrat College of Art,Beverly,01915-4508,MA,21,42.550212,-70.876131,Suburb,Large,,Massachusetts,FALSE,FALSE
1461,Mount Holyoke College,South Hadley,01075-1489,MA,21,42.256838,-72.575511,Suburb,Large,,Massachusetts,FALSE,FALSE
1462,Mount Wachusett Community College,Gardner,01440-1000,MA,41,42.593142,-71.984148,Rural,Fringe,,Massachusetts,FALSE,FALSE
1463,Rob Roy Academy-New Bedford,New Bedford,02720-3445,MA,22,41.671921,-70.925187,Suburb,Midsize,,Massachusetts,FALSE,TRUE
1464,The New England Conservatory of Music,Boston,02115-5018,MA,11,42.340946,-71.08629,City,Large,,Massachusetts,FALSE,FALSE
1465,New England College of Optometry,Boston,02115,MA,11,42.351853,-71.086829,City,Large,,Massachusetts,FALSE,FALSE
1466,New England Law-Boston,Boston,02116,MA,11,42.350833,-71.0665,City,Large,,Massachusetts,FALSE,TRUE
1467,Nichols College,Dudley,01571-5000,MA,21,42.044033,-71.930283,Suburb,Large,,Massachusetts,FALSE,FALSE
1468,Massachusetts College of Liberal Arts,North Adams,01247-4100,MA,31,42.691361,-73.102817,Town,Fringe,,Massachusetts,TRUE,FALSE
1469,North Bennet Street School,Boston,02109,MA,11,42.36279,-71.05452,City,Large,,Massachusetts,FALSE,FALSE
1470,North Shore Community College,Danvers,01923-0840,MA,21,42.590103,-70.968044,Suburb,Large,,Massachusetts,FALSE,FALSE
1471,Northeastern University,Boston,02115-5005,MA,11,42.339992,-71.088782,City,Large,,Massachusetts,FALSE,FALSE
1472,Northern Essex Community College,Haverhill,01830-2399,MA,21,42.796634,-71.04904,Suburb,Large,,Massachusetts,FALSE,FALSE
1473,College of Our Lady of the Elms,Chicopee,01013,MA,21,42.141781,-72.60154,Suburb,Large,,Massachusetts,FALSE,FALSE
1474,Pine Manor College,Chestnut Hill,02467,MA,21,42.320827,-71.156464,Suburb,Large,,Massachusetts,FALSE,FALSE
1475,Pope St John XXIII National Seminary,Weston,02493-2699,MA,21,42.339408,-71.311059,Suburb,Large,,Massachusetts,FALSE,FALSE
1476,Quincy College,Quincy,02169,MA,21,42.252416,-71.003476,Suburb,Large,,Massachusetts,FALSE,TRUE
1477,Quinsigamond Community College,Worcester,01606-2092,MA,12,42.31379,-71.79503,City,Midsize,,Massachusetts,FALSE,FALSE
1478,Regis College,Weston,02493-1571,MA,21,42.351291,-71.310561,Suburb,Large,,Massachusetts,FALSE,FALSE
1479,Roxbury Community College,Roxbury Crossing,02120-3400,MA,11,42.329249,-71.09549,City,Large,,Massachusetts,FALSE,FALSE
1480,Saint John's Seminary,Brighton,02135-3846,MA,11,42.344146,-71.161998,City,Large,,Massachusetts,FALSE,FALSE
1481,Salem State University,Salem,01970,MA,21,42.503575,-70.890234,Suburb,Large,,Massachusetts,FALSE,TRUE
1482,Simmons University,Boston,02115-5898,MA,11,42.3393,-71.099967,City,Large,,Massachusetts,FALSE,FALSE
1483,Bard College at Simon's Rock,Great Barrington,01230-9702,MA,32,42.208803,-73.379201,Town,Distant,,Massachusetts,FALSE,FALSE
1484,Smith College,Northampton,01063,MA,21,42.318111,-72.638097,Suburb,Large,,Massachusetts,FALSE,FALSE
1485,Southeastern Technical Institute,South Easton,02375,MA,41,42.010312,-71.081227,Rural,Fringe,,Massachusetts,FALSE,FALSE
1486,Springfield College,Springfield,01109-3797,MA,12,42.101576,-72.556751,City,Midsize,,Massachusetts,FALSE,TRUE
1487,Springfield Technical Community College,Springfield,01105-1296,MA,12,42.108827,-72.578514,City,Midsize,,Massachusetts,FALSE,TRUE
1488,University of Massachusetts-Dartmouth,North Dartmouth,02747-2300,MA,22,41.62869,-71.004552,Suburb,Midsize,,Massachusetts,TRUE,FALSE
1489,Stonehill College,Easton,02357-6110,MA,21,42.05905,-71.080632,Suburb,Large,,Massachusetts,FALSE,FALSE
1490,Suffolk University,Boston,02108-3901,MA,11,42.357945,-71.060917,City,Large,,Massachusetts,FALSE,FALSE
1491,Rob Roy Academy-Taunton,Taunton,02780-5339,MA,21,41.901945,-71.091966,Suburb,Large,,Massachusetts,FALSE,TRUE
1492,Tufts University,Medford,02155-5555,MA,21,42.40855,-71.118293,Suburb,Large,,Massachusetts,FALSE,FALSE
1493,Wellesley College,Wellesley,02481-8203,MA,21,42.291554,-71.306605,Suburb,Large,,Massachusetts,FALSE,TRUE
1494,Wentworth Institute of Technology,Boston,02115,MA,11,42.336632,-71.094983,City,Large,,Massachusetts,FALSE,FALSE
1495,Western New England University,Springfield,01119-2684,MA,12,42.115017,-72.520466,City,Midsize,,Massachusetts,FALSE,FALSE
1496,Westfield State University,Westfield,01086-1630,MA,21,42.132698,-72.796503,Suburb,Large,,Massachusetts,FALSE,TRUE
1497,Wheaton College (Massachusetts),Norton,02766-2322,MA,21,41.966637,-71.183979,Suburb,Large,,Massachusetts,TRUE,FALSE
1498,Williams College,Williamstown,01267,MA,31,42.712725,-73.203132,Town,Fringe,,Massachusetts,FALSE,FALSE
1499,Worcester Polytechnic Institute,Worcester,01609-2280,MA,12,42.274853,-71.808339,City,Midsize,,Massachusetts,FALSE,TRUE
1500,Worcester State University,Worcester,01602-2597,MA,12,42.267526,-71.844018,City,Midsize,,Massachusetts,FALSE,TRUE
1501,Adrian College,Adrian,49221-2575,MI,32,41.898591,-84.061481,Town,Distant,,Michigan,FALSE,TRUE
1502,Albion College,Albion,49224,MI,31,42.245049,-84.745639,Town,Fringe,,Michigan,FALSE,TRUE
1503,Hillsdale Beauty College,Hillsdale,49242,MI,32,41.918718,-84.631429,Town,Distant,,Michigan,FALSE,TRUE
1504,Northwestern Technological Institute,Southfield,48075,MI,13,42.469188,-83.238529,City,Small,,Michigan,FALSE,FALSE
1505,Alma College,Alma,48801-1599,MI,32,43.38004,-84.672053,Town,Distant,,Michigan,FALSE,TRUE
1506,Alpena Community College,Alpena,49707,MI,41,45.081647,-83.445069,Rural,Fringe,,Michigan,FALSE,TRUE
1507,Andrews University,Berrien Springs,49104,MI,31,41.963859,-86.355815,Town,Fringe,,Michigan,FALSE,FALSE
1508,Aquinas College,Grand Rapids,49506-1801,MI,12,42.96019,-85.628785,City,Midsize,,Michigan,FALSE,FALSE
1509,Baker College,Owosso,48867,MI,32,42.984804,-84.172404,Town,Distant,,Michigan,FALSE,FALSE
1510,Bay de Noc Community College,Escanaba,49829-2511,MI,33,45.772586,-87.085228,Town,Remote,,Michigan,FALSE,FALSE
1511,Bayshire Academy of Beauty Craft Inc,Bay City,48708-5614,MI,13,43.599758,-83.88895,City,Small,,Michigan,FALSE,FALSE
1512,Calvin University,Grand Rapids,49546,MI,12,42.929916,-85.587548,City,Midsize,,Michigan,FALSE,FALSE
1513,Calvin Theological Seminary,Grand Rapids,49546-4387,MI,12,42.927951,-85.586439,City,Midsize,,Michigan,FALSE,FALSE
1514,Carnegie Institute,Troy,48083,MI,13,42.53889,-83.118801,City,Small,,Michigan,FALSE,FALSE
1515,Michigan School of Psychology,Farmington Hills,48334-4512,MI,13,42.491427,-83.359575,City,Small,,Michigan,TRUE,FALSE
1516,Central Michigan University,Mount Pleasant,48859,MI,32,43.591203,-84.77525,Town,Distant,,Michigan,TRUE,FALSE
1517,Mott Community College,Flint,48503-2089,MI,13,43.019941,-83.67243,City,Small,,Michigan,FALSE,FALSE
1518,Empire Beauty School-Michigan,Grand Rapids,49544,MI,21,43.028642,-85.691067,Suburb,Large,,Michigan,TRUE,FALSE
1519,Cleary University,Howell,48843,MI,22,42.586638,-83.879987,Suburb,Midsize,,Michigan,FALSE,FALSE
1520,Concordia University Ann Arbor,Ann Arbor,48105,MI,12,42.273157,-83.68268,City,Midsize,,Michigan,FALSE,TRUE
1521,Cranbrook Academy of Art,Bloomfield Hills,48304,MI,21,42.568904,-83.250681,Suburb,Large,,Michigan,FALSE,FALSE
1522,College for Creative Studies,Detroit,48202,MI,11,42.361839,-83.062352,City,Large,,Michigan,FALSE,FALSE
1523,Davenport University,Grand Rapids,49512-9396,MI,21,42.850013,-85.533519,Suburb,Large,,Michigan,FALSE,FALSE
1524,David Pressley School of Cosmetology,Royal Oak,48067-3219,MI,21,42.479729,-83.146008,Suburb,Large,,Michigan,FALSE,FALSE
1525,Delta College,University Center,48710,MI,41,43.559491,-83.985943,Rural,Fringe,,Michigan,FALSE,FALSE
1526,Detroit Business Institute-Downriver,Riverview,48193,MI,21,42.168682,-83.191212,Suburb,Large,,Michigan,FALSE,FALSE
1527,MIAT College of Technology,Canton,48188,MI,21,42.286324,-83.445507,Suburb,Large,,Michigan,FALSE,FALSE
1528,University of Detroit Mercy,Detroit,48221-3038,MI,11,42.414222,-83.139158,City,Large,,Michigan,FALSE,TRUE
1529,Dorsey College,Madison Heights,48071,MI,21,42.525318,-83.107631,Suburb,Large,,Michigan,FALSE,FALSE
1530,Eastern Michigan University,Ypsilanti,48197,MI,21,42.251675,-83.627443,Suburb,Large,,Michigan,TRUE,FALSE
1531,Creative Hair School of Cosmetology,Flint,48507,MI,21,42.980416,-83.757927,Suburb,Large,,Michigan,FALSE,FALSE
1532,Ferris State University,Big Rapids,49307-2251,MI,32,43.687724,-85.481925,Town,Distant,,Michigan,FALSE,FALSE
1533,Glen Oaks Community College,Centreville,49032-9719,MI,42,41.892504,-85.496929,Rural,Distant,,Michigan,FALSE,FALSE
1534,Kettering University,Flint,48504-6214,MI,13,43.012468,-83.71282,City,Small,,Michigan,FALSE,FALSE
1535,Gogebic Community College,Ironwood,49938,MI,41,46.471893,-90.165592,Rural,Fringe,,Michigan,FALSE,FALSE
1536,Grace Christian University,Wyoming,49509,MI,21,42.919541,-85.692077,Suburb,Large,,Michigan,FALSE,FALSE
1537,Cornerstone University,Grand Rapids,49525-5897,MI,12,42.979966,-85.595328,City,Midsize,,Michigan,FALSE,FALSE
1538,Grand Rapids Community College,Grand Rapids,49503-3295,MI,12,42.967076,-85.665625,City,Midsize,,Michigan,FALSE,TRUE
1539,Grand Valley State University,Allendale,49401-9403,MI,21,42.963001,-85.889826,Suburb,Large,,Michigan,FALSE,FALSE
1540,Great Lakes Christian College,Lansing,48917-1299,MI,21,42.754249,-84.638714,Suburb,Large,,Michigan,FALSE,FALSE
1541,Henry Ford College,Dearborn,48128-1495,MI,13,42.324639,-83.236056,City,Small,,Michigan,FALSE,FALSE
1542,Hillsdale College,Hillsdale,49242,MI,32,41.933682,-84.633195,Town,Distant,,Michigan,FALSE,TRUE
1543,Hope College,Holland,49423-9000,MI,13,42.787298,-86.102089,City,Small,,Michigan,FALSE,FALSE
1544,Jackson College,Jackson,49201-8399,MI,41,42.16483,-84.403942,Rural,Fringe,,Michigan,FALSE,TRUE
1545,Kalamazoo College,Kalamazoo,49006-3295,MI,13,42.290789,-85.601857,City,Small,,Michigan,FALSE,TRUE
1546,Kalamazoo Valley Community College,Kalamazoo,49003-4070,MI,22,42.225948,-85.682144,Suburb,Midsize,,Michigan,FALSE,TRUE
1547,Kellogg Community College,Battle Creek,49017-3397,MI,13,42.335638,-85.177329,City,Small,,Michigan,FALSE,FALSE
1548,Kirtland Community College,Grayling,49738,MI,42,44.601785,-84.706254,Rural,Distant,,Michigan,FALSE,FALSE
1549,Michigan College of Beauty-Monroe,Monroe,48161,MI,23,41.907014,-83.407005,Suburb,Small,,Michigan,TRUE,TRUE
1550,Lake Michigan College,Benton Harbor,49022-1899,MI,41,42.097276,-86.393445,Rural,Fringe,,Michigan,TRUE,FALSE
1551,Lake Superior State University,Sault Ste Marie,49783,MI,33,46.492849,-84.365573,Town,Remote,,Michigan,FALSE,FALSE
1552,Lansing Community College,Lansing,48933,MI,12,42.738435,-84.55157,City,Midsize,,Michigan,FALSE,TRUE
1553,Lawrence Technological University,Southfield,48075-1058,MI,13,42.474072,-83.25003,City,Small,,Michigan,FALSE,FALSE
1554,M J Murphy Beauty College of Mount Pleasant,Mount Pleasant,48858,MI,32,43.60429,-84.777927,Town,Distant,,Michigan,FALSE,TRUE
1555,Macomb Community College,Warren,48088-3896,MI,12,42.50599,-82.972377,City,Midsize,,Michigan,FALSE,FALSE
1556,Madonna University,Livonia,48150-1176,MI,13,42.384323,-83.404722,City,Small,,Michigan,FALSE,FALSE
1557,Rochester University,Rochester Hills,48307,MI,21,42.667521,-83.144959,Suburb,Large,,Michigan,FALSE,FALSE
1558,University of Michigan-Ann Arbor,Ann Arbor,48109,MI,12,42.275921,-83.742769,City,Midsize,,Michigan,TRUE,TRUE
1559,The Michigan Barber School,Detroit,48204-2244,MI,11,42.365023,-83.128883,City,Large,,Michigan,TRUE,FALSE
1560,Michigan State University,East Lansing,48824-1046,MI,13,42.73212,-84.476111,City,Small,,Michigan,TRUE,FALSE
1561,Michigan Technological University,Houghton,49931-1295,MI,33,47.11866,-88.548092,Town,Remote,,Michigan,TRUE,FALSE
1562,University of Michigan-Dearborn,Dearborn,48128-1491,MI,13,42.317287,-83.231417,City,Small,,Michigan,TRUE,TRUE
1563,University of Michigan-Flint,Flint,48502-1950,MI,13,43.01875,-83.690276,City,Small,,Michigan,TRUE,TRUE
1564,Mid Michigan College,Harrison,48625-9447,MI,41,43.969586,-84.763715,Rural,Fringe,,Michigan,TRUE,FALSE
1565,Monroe County Community College,Monroe,48161-9746,MI,41,41.91617,-83.470274,Rural,Fringe,,Michigan,FALSE,TRUE
1566,Montcalm Community College,Sidney,48885-9723,MI,42,43.253191,-85.100181,Rural,Distant,,Michigan,FALSE,FALSE
1567,Muskegon Community College,Muskegon,49442-1432,MI,13,43.250329,-86.196384,City,Small,,Michigan,FALSE,TRUE
1568,North Central Michigan College,Petoskey,49770,MI,41,45.361727,-84.954183,Rural,Fringe,,Michigan,TRUE,FALSE
1569,Northern Michigan University,Marquette,49855-5301,MI,33,46.559751,-87.406568,Town,Remote,,Michigan,TRUE,FALSE
1570,Northwestern Michigan College,Traverse City,49686,MI,33,44.765436,-85.585517,Town,Remote,,Michigan,TRUE,FALSE
1571,Northwood University,Midland,48640-2398,MI,13,43.628717,-84.27682,City,Small,,Michigan,FALSE,FALSE
1572,Oakland Community College,Bloomfield Hills,48304-2266,MI,21,42.595441,-83.244787,Suburb,Large,,Michigan,FALSE,FALSE
1573,Oakland University,Rochester Hills,48309-4401,MI,21,42.674573,-83.216418,Suburb,Large,,Michigan,FALSE,FALSE
1574,Olivet College,Olivet,49076,MI,42,42.442891,-84.923891,Rural,Distant,,Michigan,FALSE,TRUE
1575,Port Huron Cosmetology College,Waterford,48329,MI,21,42.700677,-83.398624,Suburb,Large,,Michigan,FALSE,FALSE
1576,Kuyper College,Grand Rapids,49525-9781,MI,21,43.02195,-85.592657,Suburb,Large,,Michigan,FALSE,FALSE
1577,Ross Medical Education Center-Lansing,Lansing,48917-2108,MI,21,42.741855,-84.605807,Suburb,Large,,Michigan,FALSE,TRUE
1578,Ross Medical Education Center-Warren,Warren,48092-4141,MI,21,42.508189,-83.107692,Suburb,Large,,Michigan,FALSE,TRUE
1579,Ross Medical Education Center-Flint,Flint,48507-1234,MI,21,42.986442,-83.751751,Suburb,Large,,Michigan,FALSE,TRUE
1580,Sacred Heart Major Seminary,Detroit,48206-1799,MI,11,42.375248,-83.111682,City,Large,,Michigan,FALSE,FALSE
1581,Saginaw Valley State University,University Center,48710,MI,22,43.51176,-83.964273,Suburb,Midsize,,Michigan,FALSE,FALSE
1582,Schoolcraft Community College District,Livonia,48152-2696,MI,13,42.419279,-83.430958,City,Small,,Michigan,FALSE,FALSE
1583,Siena Heights University,Adrian,49221,MI,32,41.905624,-84.018841,Town,Distant,,Michigan,FALSE,FALSE
1584,St Clair County Community College,Port Huron,48061-5015,MI,23,42.979494,-82.428717,Suburb,Small,,Michigan,FALSE,FALSE
1585,Southwestern Michigan College,Dowagiac,49047-9793,MI,41,41.965095,-86.082715,Rural,Fringe,,Michigan,TRUE,FALSE
1586,Spring Arbor University,Spring Arbor,49283-9799,MI,23,42.206568,-84.556074,Suburb,Small,,Michigan,FALSE,TRUE
1587,Michigan Career and Technical Institute,Plainwell,49080-9254,MI,42,42.504599,-85.517049,Rural,Distant,,Michigan,TRUE,FALSE
1588,Finlandia University,Hancock,49930-1832,MI,33,47.127868,-88.588756,Town,Remote,,Michigan,FALSE,FALSE
1589,Western Michigan University-Thomas M. Cooley Law School,Lansing,48933,MI,12,42.731,-84.554429,City,Midsize,,Michigan,TRUE,FALSE
1590,Twin City Beauty College,Saint Joseph,49085,MI,23,42.071099,-86.47655,Suburb,Small,,Michigan,FALSE,FALSE
1591,Walsh College,Troy,48083-5066,MI,13,42.573888,-83.147197,City,Small,,Michigan,FALSE,FALSE
1592,Washtenaw Community College,Ann Arbor,48105-4800,MI,21,42.26361,-83.66559,Suburb,Large,,Michigan,FALSE,FALSE
1593,Wayne County Community College District,Detroit,48226,MI,11,42.327299,-83.054497,City,Large,,Michigan,FALSE,FALSE
1594,Wayne State University,Detroit,48202,MI,11,42.358994,-83.068998,City,Large,,Michigan,FALSE,FALSE
1595,West Shore Community College,Scottville,49454-0277,MI,42,44.008512,-86.336122,Rural,Distant,,Michigan,FALSE,FALSE
1596,Paul Mitchell the School-Grand Rapids,Kentwood,49512-1781,MI,13,42.910707,-85.596605,City,Small,,Michigan,FALSE,FALSE
1597,Western Michigan University,Kalamazoo,49008-5200,MI,13,42.282194,-85.613759,City,Small,,Michigan,TRUE,FALSE
