"","INSTNM","CITY","STABBR","ZIP","HCM2","ST_FIPS","REGION","LOCALE","LOCALE2","LATITUDE","LONGITUDE","RELAFFIL","SATVR25","SATVR75","SATMT25","SATMT75","SATWR25","SATWR75","SATVRMID","SATMTMID","SATWRMID","ACTCM25","ACTCM75","ACTEN25","ACTEN75","ACTMT25","ACTMT75","ACTWR25","ACTWR75","ACTCMMID","ACTENMID","ACTMTMID","ACTWRMID","SAT_AVG","SAT_AVG_ALL","NPT4_PUB","NPT45_PRIV","NPT4_PROG","NPT4_OTHER","TUITIONFEE_IN","TUITIONFEE_OUT","PCTPELL"
"2887","Swarthmore College","Swarthmore","PA","19081",0,42,2,"21",NA,"39.905159","-75.354278",NA,"710","770","720","790",NA,NA,"740","755",NA,"33","35","34","36","30","35",NA,NA,"34","35","33",NA,"1504","1504",NA,"46875",NA,NA,"56056","56056","0.2238"
"2888","Thaddeus Stevens College of Technology","Lancaster","PA","17602-3198",0,42,2,"13",NA,"40.037951","-76.288718",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9797",NA,NA,NA,"8400","8400","0.4181"
"2889","Talmudical Yeshiva of Philadelphia","Philadelphia","PA","19131",0,42,2,"11",NA,"39.989249","-75.247964","80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9925","9925","0.2348"
"2890","Temple University","Philadelphia","PA","19122-6096",0,42,2,"11",NA,"39.980546","-75.156859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23108",NA,NA,NA,"17378","30602","0.2982"
"2891","Theological Seminary of the Reformed Episcopal Church","Blue Bell","PA","19422-1257",0,42,2,"21",NA,"40.168935","-75.290124","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2892","Thiel College","Greenville","PA","16125-2181",0,42,2,"31",NA,"41.41354","-80.384383","39","480","595","485","570",NA,NA,"538","528",NA,"17","24","16","22","17","24",NA,NA,"21","19","21",NA,"1067","1067",NA,"24553",NA,NA,"34470","34470","0.4597"
"2893","Thomas Jefferson University","Philadelphia","PA","19107",0,42,2,"11",NA,"39.948274","-75.158266",NA,"570","650","560","670",NA,NA,"610","615",NA,"25","30","23","29","24","30",NA,NA,"28","26","27",NA,"1235","1235",NA,"28312",NA,NA,"43116","43116","0.3085"
"2894","Triangle Tech Inc-Pittsburgh","Pittsburgh","PA","15214-3897",0,42,2,"11",NA,"40.462003","-80.012781",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28727",NA,NA,"18443","18443","0.5962"
"2895","Triangle Tech Inc-Greensburg","Greensburg","PA","15601-3304",0,42,2,"21",NA,"40.303168","-79.539468",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25386",NA,NA,"18390","18390","0.3968"
"2896","Triangle Tech Inc-Dubois","Falls Creek","PA","15840-3333",0,42,2,"41",NA,"41.147974","-78.795923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26756",NA,NA,"18384","18384","0.4545"
"2897","Trinity Episcopal School for Ministry","Ambridge","PA","15003-2397",0,42,2,"21",NA,"40.593403","-80.230178","73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2898","Ursinus College","Collegeville","PA","19426-1000",0,42,2,"21",NA,"40.193023","-75.456505",NA,"610","680","590","680",NA,NA,"645","635",NA,"27","32","26","33","24","31",NA,NA,"30","30","28",NA,"1298","1298",NA,"31996",NA,NA,"56600","56600","0.2029"
"2899","University of Valley Forge","Phoenixville","PA","19460-2373",0,42,2,"21",NA,"40.117835","-75.5469","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31558",NA,NA,"23070","23070","0.4788"
"2900","Valley Forge Military College","Wayne","PA","19087-3695",1,42,2,"21",NA,"40.053697","-75.382097",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30975","30975","0.0826"
"2901","Venus Beauty Academy","Sharon Hill","PA","19079",0,42,2,"21",NA,"39.908715","-75.273105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.3874"
"2902","Villanova University","Villanova","PA","19085-1699",0,42,2,"21",NA,"40.039388","-75.345457","30","660","730","690","760",NA,NA,"695","725",NA,"31","34","33","35","29","33",NA,NA,"33","34","31",NA,"1437","1437",NA,"47834",NA,NA,"59020","59020","0.111"
"2903","Washington Health System School of Nursing","Washington","PA","15301",0,42,2,"21",NA,"40.183984","-80.245709",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.3095"
"2904","Washington & Jefferson College","Washington","PA","15301",0,42,2,"21",NA,"40.170622","-80.24049",NA,"520","660","530","640",NA,NA,"590","585",NA,"21","31","19","30","19","29",NA,NA,"26","25","24",NA,"1192","1192",NA,"31572",NA,NA,"50192","50192","0.2936"
"2905","Waynesburg University","Waynesburg","PA","15370-1257",0,42,2,"32",NA,"39.899871","-80.186205","66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24824",NA,NA,"27450","27450","0.3206"
"2906","Welder Training and Testing Institute","Allentown","PA","18109-3253",0,42,2,"12",NA,"40.626469","-75.447263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22693",NA,NA,NA,NA,"0.2759"
"2907","West Chester University of Pennsylvania","West Chester","PA","19383",0,42,2,"21",NA,"39.953398","-75.59812",NA,"540","630","530","620",NA,NA,"585","575",NA,"23","29","22","30","20","27",NA,NA,"26","26","24",NA,"1165","1165","13183",NA,NA,NA,"10471","22295","0.2442"
"2908","Western Pennsylvania Hospital School of Nursing","Pittsburgh","PA","15224",0,42,2,"11",NA,"40.462132","-79.945111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20027",NA,NA,"10560","10560","0.3984"
"2909","Pittsburgh Career Institute","Pittsburgh","PA","15219-1907",0,42,2,"11",NA,"40.442726","-79.99591",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15866","15866","0.4608"
"2910","Westminster College","New Wilmington","PA","16172",0,42,2,"31",NA,"41.119272","-80.331017","66","520","643","520","615",NA,NA,"582","568",NA,"20","26","20","27","20","26",NA,NA,"23","24","23",NA,"1149","1149",NA,"24523",NA,NA,"38230","38230","0.309"
"2911","Westminster Theological Seminary","Glenside","PA","19038",0,42,2,"21",NA,"40.09815","-75.176327","79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2912","Westmoreland County Community College","Youngwood","PA","15697-1895",0,42,2,"41",NA,"40.234321","-79.564897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5678",NA,NA,NA,"5598","13722","0.2789"
"2913","Widener University","Chester","PA","19013-5792",0,42,2,"21",NA,"39.861689","-75.355363",NA,"540","635","540","640",NA,NA,"588","590",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1178","1178",NA,"26217",NA,NA,"49706","49706","0.2016"
"2914","Wilkes University","Wilkes-Barre","PA","18766",0,42,2,"13",NA,"41.244199","-75.890262",NA,"520","630","520","620",NA,NA,"575","570",NA,"20","28","18","27","19","27",NA,NA,"24","23","23",NA,"1150","1150",NA,"35275",NA,NA,"39914","39914","0.3255"
"2915","Williamson College of the Trades","Media","PA","19063-5299",0,42,2,"21",NA,"39.90807","-75.422024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31944",NA,NA,"28320","28320","0.5904"
"2916","Wilson College","Chambersburg","PA","17201-1285",0,42,2,"13",NA,"39.949659","-77.650712","66","480","620","480","580",NA,NA,"550","530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1080","1080",NA,"27259",NA,NA,"26200","26200","0.245"
"2917","Yeshivath Beth Moshe","Scranton","PA","18505-2196",0,42,2,"13",NA,"41.394852","-75.656191","80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11100",NA,NA,"9800","9800","0.4359"
"2918","York College of Pennsylvania","York","PA","17403-3651",0,42,2,"22",NA,"39.94614","-76.727984",NA,"518","610","510","610",NA,NA,"564","560",NA,"22","27","21","26","20","27",NA,NA,"25","24","24",NA,"1130","1130",NA,"24672",NA,NA,"22350","22350","0.2513"
"2919","YTI Career Institute-York","York","PA","17402",0,42,2,"22",NA,"39.992432","-76.660321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17990",NA,NA,NA,NA,"0.4706"
"2920","Brown University","Providence","RI","02912",0,44,1,"12",NA,"41.82617","-71.40385",NA,"720","770","740","800",NA,NA,"745","770",NA,"33","35","35","36","31","35",NA,NA,"34","36","33",NA,"1517","1517",NA,"43008",NA,NA,"62304","62304","0.1375"
"2921","Bryant University","Smithfield","RI","02917-1291",0,44,1,"21",NA,"41.920092","-71.539547",NA,"550","650","570","650",NA,NA,"600","610",NA,"26","30",NA,NA,NA,NA,NA,NA,"28",NA,NA,NA,"1222","1222",NA,"41969",NA,NA,"47782","47782","0.1064"
"2922","Johnson & Wales University-Providence","Providence","RI","02903-3703",0,44,1,"12",NA,"41.819956","-71.41277",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32111",NA,NA,"36324","36324","0.352"
"2923","New England Institute of Technology","East Greenwich","RI","02818-1205",0,44,1,"21",NA,"41.661783","-71.502892",NA,"455","612","418","620",NA,NA,"534","519",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1053","1053",NA,"40450",NA,NA,"32807","32807","0.4677"
"2924","New England Tractor Trailer Training School of Rhode Island","Pawtucket","RI","02860",0,44,1,"21",NA,"41.880296","-71.405906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17910",NA,NA,NA,NA,"0.798"
"2925","Providence College","Providence","RI","02918-0001",0,44,1,"12",NA,"41.842742","-71.437446","30","570","670","550","660",NA,NA,"620","605",NA,"26","31","25","34","24","29",NA,NA,"29","30","27",NA,"1246","1246",NA,"46427",NA,NA,"55988","55988","0.1456"
"2926","Rhode Island College","Providence","RI","02908",0,44,1,"21",NA,"41.842415","-71.46556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10986",NA,NA,NA,"10702","25900","0.4368"
"2927","Community College of Rhode Island","Warwick","RI","02886-1807",0,44,1,"13",NA,"41.712817","-71.481509",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6085",NA,NA,NA,"4980","13260","0.4244"
"2928","University of Rhode Island","Kingston","RI","02881",0,44,1,"21",NA,"41.484691","-71.527356",NA,"550","650","540","640",NA,NA,"600","590",NA,"25","30","23","29","22","27",NA,NA,"28","26","25",NA,"1200","1200","19925",NA,NA,NA,"15332","33354","0.2244"
"2929","Rhode Island School of Design","Providence","RI","02903-2784",0,44,1,"12",NA,"41.825935","-71.407692",NA,"630","710","680","770",NA,NA,"670","725",NA,"28","34","27","35","26","32",NA,NA,"31","31","29",NA,"1399","1399",NA,"60755",NA,NA,"56290","56290","0.1809"
"2930","Roger Williams University","Bristol","RI","02809-2921",0,44,1,"21",NA,"41.650214","-71.260374",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39009",NA,NA,"39594","39594","0.1601"
"2931","Salve Regina University","Newport","RI","02840-4192",0,44,1,"21",NA,"41.471545","-71.30124","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37315",NA,NA,"44200","44200","0.1995"
"2932","Empire Beauty School-Warwick","Providence","RI","02903",0,44,1,"12",NA,"41.821724","-71.422425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22542",NA,NA,NA,NA,"0.6448"
"2933","Northpoint Bible College","Haverhill","MA","01835",0,25,1,"21",NA,"42.765357","-71.079335","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30085",NA,NA,"13670","13670","0.5853"
"2934","Aiken Technical College","Graniteville","SC","29829",0,45,5,"41",NA,"33.533833","-81.841666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2685",NA,NA,NA,"4946","6880","0.4629"
"2935","Allen University","Columbia","SC","29204",0,45,5,"12",NA,"34.010348","-81.020045","51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16052",NA,NA,"13340","13340","0.8178"
"2936","Anderson University","Anderson","SC","29621-4035",0,45,5,"13",NA,"34.5152","-82.640358","54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23837",NA,NA,"30720","30720","0.2267"
"2937","Charleston Southern University","Charleston","SC","29406-9121",0,45,5,"12",NA,"32.983047","-80.072587","54","500","620","490","580",NA,NA,"560","535",NA,"18","23","16","21","17","24",NA,NA,"21","19","21",NA,"1082","1082",NA,"19214",NA,NA,"28930","28930","0.3717"
"2938","Technical College of the Lowcountry","Beaufort","SC","29901-1288",0,45,5,"32",NA,"32.420197","-80.689468",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6715",NA,NA,NA,"5140","11020","0.3464"
"2939","Benedict College","Columbia","SC","29204-1086",0,45,5,"12",NA,"34.012941","-81.020403","54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20777",NA,NA,"17200","17200","0.7106"
"2940","Bob Jones University","Greenville","SC","29614-0001",0,45,5,"13",NA,"34.874016","-82.365838","102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25215",NA,NA,"20950","20950","0.0906"
"2941","Southern Wesleyan University","Central","SC","29630-1020",0,45,5,"21",NA,"34.728068","-82.761586","89","500","598","480","570",NA,NA,"549","525",NA,"18","24","17","23","16","24",NA,NA,"21","20","20",NA,"1079","1079",NA,"23642",NA,NA,"26498","26498","0.435"
"2942","Charleston Cosmetology Institute","Charleston","SC","29420",0,45,5,"21",NA,"32.91777","-80.111988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15359",NA,NA,NA,NA,"0.2908"
"2943","College of Charleston","Charleston","SC","29424-0001",0,45,5,"12",NA,"32.784225","-79.939794",NA,"560","660","530","620",NA,NA,"610","575",NA,"23","29","22","30","21","27",NA,NA,"26","26","24",NA,"1211","1211","18394",NA,NA,NA,"12978","34438","0.2109"
"2944","Charzanne Beauty College","Greenwood","SC","29649",0,45,5,"32",NA,"34.212583","-82.138883",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5745"
"2945","Northeastern Technical College","Cheraw","SC","29520",0,45,5,"41",NA,"34.698248","-79.939245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7422",NA,NA,NA,"4974","7948","0.3477"
"2946","Citadel Military College of South Carolina","Charleston","SC","29409",0,45,5,"12",NA,"32.797183","-79.958775",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19731",NA,NA,NA,"12570","35826","0.2036"
"2947","Claflin University","Orangeburg","SC","29115-4498",0,45,5,"32",NA,"33.498444","-80.854319","71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25737",NA,NA,"17046","17046","0.7232"
"2948","Clemson University","Clemson","SC","29634",0,45,5,"21",NA,"34.679381","-82.835114",NA,"610","700","610","720",NA,NA,"655","665",NA,"27","32","25","34","26","31",NA,NA,"30","30","29",NA,"1339","1339","22116",NA,NA,NA,"15558","38550","0.1483"
"2949","Clinton College","Rock Hill","SC","29730",0,45,5,"13",NA,"34.913721","-81.043469","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10020","10020","0.6471"
"2950","Coker University","Hartsville","SC","29550",0,45,5,"32",NA,"34.37696","-80.070416",NA,"460","570","480","590",NA,NA,"515","535",NA,"16","24","15","22","16","23",NA,NA,"20","19","20",NA,"1050","1050",NA,"33697",NA,NA,"31524","31524","0.5331"
"2951","Columbia International University","Columbia","SC","29203-1513",0,45,5,"12",NA,"34.07551","-81.07443",NA,"480","595","460","540",NA,NA,"538","500",NA,"17","24","17","24","16","23",NA,NA,"21","21","20",NA,"1049","1049",NA,"24846",NA,NA,"25590","25590","0.3676"
"2952","Columbia College","Columbia","SC","29203",0,45,5,"12",NA,"34.045581","-81.029967","71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25507",NA,NA,"20880","20880","0.497"
"2953","Converse University","Spartanburg","SC","29302-0006",0,45,5,"13",NA,"34.955534","-81.917881",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19457",NA,NA,"19850","19850","0.4679"
"2954","Denmark Technical College","Denmark","SC","29042",0,45,5,"41",NA,"33.313355","-81.123629",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15009",NA,NA,NA,"5966","11592","0.4033"
"2955","Erskine College","Due West","SC","29639",0,45,5,"42",NA,"34.332087","-82.39095","81","460","570","460","580",NA,NA,"515","520",NA,"17","23","16","22","17","23",NA,NA,"20","19","20",NA,"1041","1041",NA,"45394",NA,NA,"36510","36510","0.4393"
"2956","Florence-Darlington Technical College","Florence","SC","29501-0548",0,45,5,"23",NA,"34.243882","-79.81469",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2702",NA,NA,NA,"4606","6742","0.4576"
"2957","Francis Marion University","Florence","SC","29506",0,45,5,"23",NA,"34.189777","-79.652854",NA,"470","570","460","550",NA,NA,"520","505",NA,"15","22","14","22","15","22",NA,NA,"19","18","19",NA,"1011","1011","13020",NA,NA,NA,"11160","21544","0.4649"
"2958","Furman University","Greenville","SC","29613-6162",0,45,5,"21",NA,"34.924676","-82.440458",NA,"630","720","610","702",NA,NA,"675","656",NA,"29","33","29","35","26","31",NA,NA,"31","32","29",NA,"1375","1375",NA,"34641",NA,NA,"53372","53372","0.1105"
"2959","Greenville Technical College","Greenville","SC","29606",0,45,5,"13",NA,"34.826212","-82.371178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7234",NA,NA,NA,"4778","9410","0.3307"
"2960","Horry-Georgetown Technical College","Conway","SC","29526",0,45,5,"13",NA,"33.79614","-79.003611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4707",NA,NA,NA,"4372","8620","0.3952"
"2961","Kenneth Shuler School of Cosmetology-North Augusta","North Augusta","SC","29841",0,45,5,"21",NA,"33.497587","-81.957885",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18467",NA,NA,NA,NA,"0.7316"
"2962","Kenneth Shuler School of Cosmetology and Nails-Columbia","Columbia","SC","29210",0,45,5,"21",NA,"34.045282","-81.132969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6757"
"2963","Lander University","Greenwood","SC","29649-2099",0,45,5,"32",NA,"34.199892","-82.164736",NA,"480","590","470","560",NA,NA,"535","515",NA,"17","24","15","23","16","23",NA,NA,"21","19","20",NA,"1057","1057","16955",NA,NA,NA,"11700","21300","0.412"
"2964","Limestone University","Gaffney","SC","29340-3799",0,45,5,"31",NA,"35.057076","-81.649161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26069",NA,NA,"26300","26300","0.4752"
"2965","Medical University of South Carolina","Charleston","SC","29425",0,45,5,"12",NA,"32.784363","-79.947158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.1447"
"2966","Midlands Technical College","West Columbia","SC","29170-2176",0,45,5,"21",NA,"33.949325","-81.115761",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6030",NA,NA,NA,"4788","13812","0.3931"
"2967","Morris College","Sumter","SC","29150-3599",0,45,5,"13",NA,"33.938574","-80.346155","54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15450","15450","0.8203"
"2968","Newberry College","Newberry","SC","29108",0,45,5,"32",NA,"34.285868","-81.619777","39","470","590","465","565",NA,NA,"530","515",NA,"16","21","14","23","15","22",NA,NA,"19","19","19",NA,"1027","1027",NA,"23545",NA,NA,"28250","28250","0.4697"
"2969","North Greenville University","Tigerville","SC","29688-1892",0,45,5,"41",NA,"35.069758","-82.37026","75","500","620","480","590",NA,NA,"560","535",NA,"18","25","19","24","17","24",NA,NA,"22","22","21",NA,"1097","1097",NA,"21944",NA,NA,"22470","22470","0.3372"
"2970","Orangeburg Calhoun Technical College","Orangeburg","SC","29118-8299",0,45,5,"41",NA,"33.54485","-80.82927",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5218",NA,NA,NA,"4730","7490","0.4227"
"2971","Piedmont Technical College","Greenwood","SC","29646",0,45,5,"32",NA,"34.207415","-82.120635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11596",NA,NA,NA,"4547","6593","0.4845"
"2972","Presbyterian College","Clinton","SC","29325",0,45,5,"32",NA,"34.465834","-81.87448","66","510","600","500","620",NA,NA,"555","560",NA,"19","26","17","26","17","26",NA,NA,"23","22","22",NA,"1123","1123",NA,"26054",NA,NA,"41080","41080","0.2929"
"2973","University of South Carolina Aiken","Aiken","SC","29801",0,45,5,"21",NA,"33.572704","-81.767612",NA,"490","600","470","570",NA,NA,"545","520",NA,"16","23","15","22","16","22",NA,NA,"20","19","19",NA,"1051","1051","12309",NA,NA,NA,"10760","21218","0.3738"
"2974","University of South Carolina Beaufort","Bluffton","SC","29909",0,45,5,"31",NA,"32.303308","-80.973595",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15587",NA,NA,NA,"10730","21776","0.3917"
"2975","University of South Carolina-Columbia","Columbia","SC","29208",0,45,5,"12",NA,"33.996788","-81.026935",NA,"580","680","570","680",NA,NA,"630","625",NA,"26","31","24","33","24","29",NA,NA,"29","29","27",NA,"1286","1286","20796",NA,NA,NA,"12688","33928","0.1955"
"2976","University of South Carolina-Lancaster","Lancaster","SC","29720-0889",0,45,5,"32",NA,"34.736282","-80.787069",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9635",NA,NA,NA,"7558","18238","0.1624"
"2977","University of South Carolina-Salkehatchie","Allendale","SC","29810-0617",0,45,5,"41",NA,"33.014312","-81.301838",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12262",NA,NA,NA,"7558","18238","0.2916"
"2978","University of South Carolina-Sumter","Sumter","SC","29150-2498",0,45,5,"13",NA,"33.934698","-80.373459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9085",NA,NA,NA,"7558","18238","0.1752"
"2979","University of South Carolina-Union","Union","SC","29379-0729",0,45,5,"32",NA,"34.717771","-81.621042",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10942",NA,NA,NA,"7558","18238","0.141"
"2980","Coastal Carolina University","Conway","SC","29526",0,45,5,"13",NA,"33.794995","-79.011767",NA,"520","600","510","590",NA,NA,"560","550",NA,"20","25","19","25","18","25",NA,NA,"23","22","22",NA,"1118","1118","14382",NA,NA,NA,"11640","27394","0.3139"
